section_ref,offence_description,punishment,cognizable,bailable,triable_by,part
70(2),Gang rape on a woman under eighteen years of age.,Imprisonment for life which shall mean imprisonment for the remainder of that person's natural life and with fine or with death.,Cognizable,Non-bailable,Court of Session,I
71,Repeat offenders.,Imprisonment for life which shall mean imprisonment for the remainder of that person's natural life or with death.,Cognizable,Non-bailable,Court of Session,I
72(1),"Disclosure of identity of the victim of certain offences, etc.",Imprisonment for 2 years and fine.,Cognizable,Bailable,Any Magistrate,I
73,Printing or publication of a proceeding without prior permission of court.,Imprisonment for 2 years and fine.,Cognizable,Bailable,Any Magistrate,I
74,Assault or use of criminal force to woman with intent to outrage her modesty.,Imprisonment for 1 year which may extend to 5 years and fine.,Cognizable,Non-bailable,Any Magistrate,I
75(2),Sexual harassment and punishment for sexual harassment specified in clause (i) or clause (ii) or clause (iii) of sub-section (1).,"Rigorous imprisonment with 3 years, or fine, or both.",Cognizable,Non-bailable,Court of Session,I
75(3),Sexual harassment and punishment for sexual harassment specified in clause (iv) of sub-section (1).,"Imprisonment for 1 year, or fine, or both.",Cognizable,Non-bailable,Court of Session,I
76,Assault or use of criminal force to woman with intent to disrobe.,Imprisonment for not less than 3 years but which may extend to 7 years and fine.,Cognizable,Non-bailable,Court of Session,I
77,Voyeurism.,Imprisonment for not less than 1 year but which may extend to 3 years and fine.,Cognizable,Bailable,Court of Session,I
77,Second or subsequent conviction.,Imprisonment for not less than 3 years but which may extend to 7 years and fine.,Cognizable,Non-bailable,Court of Session,I
78(2),Stalking.,Imprisonment up to 3 years and fine.,Cognizable,Bailable,Any Magistrate,I
78(2),Second or subsequent conviction.,Imprisonment up to 5 years and fine.,Cognizable,Non-bailable,Any Magistrate,I
79,"Uttering any word or making any gesture intended to insult the modesty of a woman, etc.",Simple imprisonment for 3 years and fine.,Cognizable,Bailable,Any Magistrate,I
80(2),Dowry death.,Imprisonment for not less than 7 years but which may extend to imprisonment for life.,Cognizable,Non-bailable,Court of Session,I
81,"A man by deceit causing a woman not lawfully married to him to believe, that she is lawfully married to him and to cohabit with him in that belief.",Imprisonment for 10 years and fine.,Non-cognizable,Non-bailable,Magistrate of the first class,I
82(1),Marrying again during the life time of a husband or wife.,Imprisonment for 7 years and fine.,Non-cognizable,Bailable,Magistrate of the first class,I
82(2),Same offence with concealment of the former marriage from the person with whom subsequent marriage is contracted.,Imprisonment for 10 years and fine.,Non-cognizable,Bailable,Magistrate of the first class,I
83,"A person with fraudulent intention going through the ceremony of being married, knowing that he is not thereby lawfully married.",Imprisonment up to 7 years and fine.,Non-cognizable,Non-bailable,Magistrate of the first class,I
84,Enticing or taking away or detaining with a criminal intent a married woman.,"Imprisonment for 2 years, or fine, or both.",Non-cognizable,Bailable,Any Magistrate,I
85,Punishment for subjecting a married woman to cruelty.,Imprisonment for 3 years and fine.,"Cognizable if information relating to the commission of the offence is given to an officer in charge of a police station by the person aggrieved by the offence or by any person related to her by blood, marriage or adoption or if there is no such relative, by any public servant belonging to such class or category as may be notified by the State Government in this behalf",Non-bailable,Magistrate of the first class,I
87,"Kidnapping, abducting or inducing woman to compel her marriage, etc.",Imprisonment for 10 years and fine.,Cognizable,Non-bailable,Court of Session,I
88,Causing miscarriage.,"Imprisonment for 3 years, or fine, or both.",Non-cognizable,Bailable,Magistrate of the first class,I
88,If the woman be quick with child.,Imprisonment for 7 years and fine.,Non-cognizable,Bailable,Magistrate of the first class,I
89,Causing miscarriage without women's consent.,"Imprisonment for life, or imprisonment for 10 years and fine.",Cognizable,Non-bailable,Court of Session,I
90(1),Death caused by an act done with intent to cause miscarriage.,Imprisonment for 10 years and fine.,Cognizable,Non-bailable,Court of Session,I
90(2),If act done without women's consent.,"Imprisonment for life, or as above.",Cognizable,Non-bailable,Court of Session,I
91,"Act done with intent to prevent a child being born alive, or to cause it to die after its birth.","Imprisonment for 10 years, or fine, or both.",Cognizable,Non-bailable,Court of Session,I
92,Causing death of a quick unborn child by an act amounting to culpable homicide.,Imprisonment for 10 years and fine.,Cognizable,Non-bailable,Court of Session,I
93,Exposure of a child under 12 years of age by parent or person having care of it with intention of wholly abandoning it.,"Imprisonment for 7 years, or fine, or both.",Cognizable,Bailable,Magistrate of the first class,I
94,Concealment of birth by secret disposal of dead body.,"Imprisonment for 2 years, or fine, or both.",Cognizable,Bailable,Magistrate of the first class,I
95,"Hiring, employing or engaging a child to commit an offence.",Imprisonment for not less than 3 years but which may extend to 10 years and fine.,Cognizable,Non-bailable,Magistrate of the first class,I
95,If offence be committed.,Same as for the offence committed.,Cognizable,Non-bailable,Court by which offence committed is triable,I
96,Procuration of child.,Imprisonment for 10 years and fine.,Cognizable,Non-bailable,Court of Session,I
97,Kidnapping or abducting a child under ten years with intent to steal from its person.,Imprisonment for 7 years and fine.,Cognizable,Non-bailable,Magistrate of the first class,I
98,"Selling child for purposes of prostitution, etc.",Imprisonment for 10 years and fine.,Cognizable,Non-bailable,Court of Session,I
99,"Buying child for purposes of prostitution, etc.",Imprisonment for not less than 7 years but which may extend to 14 years and fine.,Cognizable,Non-bailable,Court of Session,I
103(1),Murder.,Death or imprisonment for life and fine.,Cognizable,Non-bailable,Court of Session,I
103(2),Murder by group of five or more persons.,Death or with imprisonment for life and fine.,Cognizable,Non-bailable,Court of Session,I
104,Murder by life-convict.,"Death or imprisonment for life, which shall mean the remainder of that person's natural life.",Cognizable,Non-bailable,Court of Session,I
105,"Culpable homicide not amounting to murder, if act by which the death is caused is done with intention of causing death, etc.","Imprisonment for life, or Imprisonment for not less than 5 years but which may extend to 10 years and fine.",Cognizable,Non-bailable,Court of Session,I
105,"If act be done with knowledge that it is likely to cause death, but without any intention to cause death, etc.",Imprisonment for 10 years and with fine.,Cognizable,Non-bailable,Court of Session,I
106(1),Causing death by negligence.,Imprisonment for 5 years and fine.,Cognizable,Bailable,Magistrate of the first class,I
106(1),Causing death by by registered medical practitioner.,negligence Imprisonment for 2 years and fine,Cognizable,Bailable,Magistrate of the first class,I
106(2),Causing death by rash and negligent driving of vehicle and escaping.,Imprisonment for 10 years and fine.,Cognizable,Non-bailable,Magistrate of the first class,I
107,"Abetment of suicide of child or person of unsound mind, etc.","Death, or imprisonment for life, or imprisonment for 10 years and fine.",Cognizable,Non-bailable,Court of Session,I
108,Abetment of suicide.,Imprisonment for 10 years and fine.,Cognizable,Non-bailable,Court of Session,I
109(1),Attempt to murder. If such act causes hurt to any person.,"Imprisonment for 10 years and fine. Imprisonment for life, or as above.",Cognizable. Cognizable,Non-bailable. Non-bailable,Court of Session. Court of Session,I
109(2),"Attempt by life-convict to murder, if hurt is caused.","Death, or imprisonment for life which shall mean the remainder of that person's natural life.",Cognizable,Non-bailable,Court of Session,I
110,Attempt to commit culpable homicide.,"Imprisonment for 3 years, or fine, or both.",Cognizable,Non-bailable,Court of Session,I
110,If such act causes hurt to any person.,"Imprisonment for 7 years, or fine, or both.",Cognizable,Non-bailable,Court of Session,I
111(2)(a),Organised crime resulting in death of any person.,Death or imprisonment for life and fine of not less than 10 lakh rupees.,Cognizable,Non-bailable,Court of Session,I
111(2)(b),In any other case.,Imprisonment for not less than 5 years but which may extend to imprisonment for life and fine of not less than 5 lakh rupees.,Cognizable,Non-bailable,Court of Session,I
111(3),"Abetting, attempting, conspiring or knowingly facilitating the commission of organised crime.",Imprisonment for not less than 5 years but which may extend to imprisonment for life and fine of not less than 5 lakh rupees.,Cognizable,Non-bailable,Court of Session,I
111(4),Being a member of an organised crime syndicate.,Imprisonment for not less than 5 years but which may extend to imprisonment for life and fine of not less than 5 lakh rupees.,Cognizable,Non-bailable,Court of Session,I
111(5),Intentionally harbouring or concealing any person who committed offence of organised crime.,Imprisonment for not less than 3 years but which may extend to imprisonment for life and fine of not less than 5 lakh rupees.,Cognizable,Non-bailable,Court of Session,I
111(6),Possessing property or obtained from the commission of organised crime.,"derived, Imprisonment for not less than 3 years but which may extend to imprisonment for life and fine of not less than 2 lakh rupees.",Cognizable,Non-bailable,Court of Session,I
111(7),Possessing property on behalf of a member of an organised crime syndicate.,Imprisonment for not less than 3 years but which may extend to imprisonment for 10 years and fine of not less than 1 lakh rupees.,Cognizable,Non-bailable,Court of Session,I
112,Petty Organised crime.,Imprisonment for not less than 1 year but which may extend to 7 years and fine.,Cognizable,Non-bailable,Magistrate of the first class,I
113(2)(a),Terrorist act resulting in the death of any person.,Death or imprisonment for life and fine.,Cognizable,Non-bailable,Court of Session,I
113(2)(b),In any other case.,Imprisonment for not less than 5 years but which may extend to imprisonment for life and fine.,Cognizable,Non-bailable,Court of Session,I
113(3),"Conspiring, attempting, abetting, etc., or knowingly facilitating the commission of terrorist act.",Imprisonment for not less than 5 years but which may extend to imprisonment for life and fine.,Cognizable,Non-bailable,Court of Session,I
113(4),"Organising camps, training, etc., for commission of terrorist act.",Imprisonment for not less than 5 years but which may extend to imprisonment for life and fine.,Cognizable,Non-bailable,Court of Session,I
113(5),Being a member of an organisation involved in terrorist act.,Imprisonment for life and fine.,Cognizable,Non-bailable,Court of Session,I
113(6),"Harbouring, concealing, etc., of any person who committed a terrorist act.",Imprisonment for not less than 3 years but which may extend to imprisonment for life and fine.,Cognizable,Non-bailable,Court of Session,I
113(7),Possessing property derived or obtained from commission of terrorist act.,Imprisonment for life and fine.,Cognizable,Non-bailable,Court of Session,I
115(2),Voluntarily causing hurt.,"Imprisonment for 1 year or fine of 10,000 rupees, or both.",Non-cognizable,Bailable,Any Magistrate,I
117(2),Voluntarily causing grievous hurt.,Imprisonment for 7 years and fine.,Cognizable,Bailable,Any Magistrate,I
117(3),If hurt to results in permanent disability or persistent vegetative state.,Rigorous imprisonment for not less than 10 years but which may extend to imprisonment for life which shall mean the remainder of that person's natural life.,Cognizable,Non-bailable,Court of Session,I
117(4),Grievous hurt caused by a group of 5 or more persons.,Imprisonment for 7 years and fine.,Cognizable,Non-bailable,Court of Session,I
118(1),Voluntarily causing hurt by dangerous weapons or means.,"Imprisonment for 3 years, or fine of 20,000 rupees, or both.",Cognizable,Non-bailable,Any Magistrate,I
118(2),Voluntarily causing hurt by dangerous weapons or means [except as provided in section,grievous Imprisonment for life or imprisonment of not less than 1 year but which may 122(2)]. extend to 10 years and fine.,Cognizable,Non-bailable,Magistrate of the first class,I
119(1),"Voluntarily causing hurt to extort property, or to constrain to an illegal act.",Imprisonment for 10 years and fine.,Cognizable,Non-bailable,Magistrate of the first class,I
119(2),Voluntarily causing grievous hurt for any purpose referred to in sub-section (1).,"Imprisonment for life, or imprisonment for 10 years and fine.",Cognizable,Non-bailable,Court of Session,I
120(1),"Voluntarily causing hurt to extort confession or information, or to compel restoration of property, etc.",Imprisonment for 7 years and fine.,Cognizable,Bailable,Magistrate of the first class,I
120(2),"Voluntarily causing grievous hurt to extort confession or information, or to compel restoration of property, etc.",Imprisonment for 10 years and fine.,Cognizable,Non-bailable,Court of Session,I
121(1),Voluntarily causing hurt to deter public servant from his duty.,"Imprisonment for 5 years, or fine, or both.",Cognizable,Non-bailable,Magistrate of the first class,I
121(2),Voluntarily causing grievous hurt to deter public servant from his duty.,"Imprisonment not less than 1 year, or imprisonment for 10 years and fine.",Cognizable,Non-bailable,Court of Session,I
122(1),"Voluntarily causing hurt on grave and sudden provocation, not intending to hurt any other than the person who gave the provocation.","Imprisonment for 1 month, or fine of 5,000 rupees, or both.",Non-cognizable,Bailable,Any Magistrate,I
122(2),"Causing grievous hurt on grave and sudden provocation, not intending to hurt any other than the person who gave the provocation.","Imprisonment for 5 years, or fine of 10,000 rupees, or both.",Cognizable,Bailable,Magistrate of the first class,I
123,"Causing hurt by means of poison, etc., with intent to commit an offence.",Imprisonment for 10 years and fine.,Cognizable,Non-bailable,Court of Session,I
124(1),"Voluntarily causing hurt by use of acid,",grievous Imprisonment for not less etc. than 10 years but which may extend to imprisonment for life and fine.,Cognizable,Non-bailable,Court of Session,I
124(2),Voluntarily throwing or attempting to throw acid.,Imprisonment for 5 years but which may extend to 7 years and fine.,Cognizable,Non-bailable,Court of Session,I
125,Doing any act endangering human life or personal safety of others.,"Imprisonment for 3 months, or fine of 2,500 rupees, or both.",Cognizable,Bailable,Any Magistrate,I
125(a),Where hurt is caused.,"Imprisonment for 6 months, or fine of 5,000 rupees, or both.",Cognizable,Bailable,Any Magistrate,I
125(b),Where grievous hurt is caused.,"Imprisonment for 3 years, or fine of 10,000 rupees, or both.",Cognizable,Bailable,Any Magistrate,I
126(2),Wrongfully restraining any person.,"Simple imprisonment for 1 month, or fine of 5,000 rupees, or both.",Cognizable,Bailable,Any Magistrate,I
127(2),Wrongfully confining any person.,"Imprisonment for 1 year, or fine of 5,000 rupees, or both.",Cognizable,Bailable,Any Magistrate,I
127(3),Wrongfully confining for three or more days.,"Imprisonment for 3 years, or fine of 10,000 rupees, or both.",Cognizable,Bailable,Any Magistrate,I
127(4),Wrongfully confining for 10 or more days.,"Imprisonment for 5 years and fine of 10,000 rupees.",Cognizable,Non-bailable,Magistrate of the first class,I
127(5),"Keeping any person in wrongful confinement, knowing that a writ has been issued for his liberation.",Imprisonment for 2 years in addition to any term of imprisonment to under any other section and fine.,Cognizable,Bailable,Magistrate of the first class,I
127(6),Wrongful confinement in secret.,Imprisonment for 3 years in addition to other punishment which he is liable to and fine.,Cognizable,Bailable,Magistrate of the first class,I
127(7),"Wrongful confinement for the purpose of extorting property, or constraining to an illegal act, etc.",Imprisonment for 3 years and fine.,Cognizable,Bailable,Any Magistrate,I
127(8),"Wrongful confinement for the purpose of extorting confession or information, or for compelling restoration of property, etc.",Imprisonment for 3 years and fine.,Cognizable,Bailable,Any Magistrate,I
131,Assault or criminal force otherwise than on grave provocation.,"Imprisonment for 3 months, or fine of 1,000 rupees, or both.",Non-cognizable,Bailable,Any Magistrate,I
132,Assault or use of criminal force to deter public servant from discharge of his duty.,"Imprisonment for 2 years, or fine, or both.",Cognizable,Non-bailable,Any Magistrate,I
133,"Assault or criminal force with intent to dishonour a person, otherwise than on grave and sudden provocation.","Imprisonment for 2 years, or fine, or both.",Non-cognizable,Bailable,Any Magistrate,I
134,Assault or criminal force in attempt to commit theft of property worn or carried by a person.,"Imprisonment for 2 years, or fine, or both.",Cognizable,Bailable,Any Magistrate,I
135,Assault or use of criminal force in attempt wrongfully to confine a person.,"Imprisonment for 1 year, or fine of 5,000 rupees, or both.",Cognizable,Bailable,Any Magistrate,I
136,Assault or use of criminal force on grave and sudden provocation.,"Simple imprisonment for one month, or fine of 1,000 rupees, or both.",Non-cognizable,Bailable,Any Magistrate,I
137(2),Kidnapping.,Imprisonment for 7 years and fine.,Cognizable,Bailable,Magistrate of the first class,I
139(1),Kidnapping a child for purposes of begging.,"Rigorous imprisonment not be less than 10 years but which may extend to imprisonment for life, and fine.",Cognizable,Non-bailable,Magistrate of the first class,I
139(2),Maiming a child for purposes of begging.,"Imprisonment not be less than 20 years which may extend to remainder of that person's natural life, and fine.",Cognizable,Non-bailable,Court of Session,I
140(1),Kidnapping or abducting in order to murder.,"Imprisonment for life, or rigorous imprisonment for 10 years and fine.",Cognizable,Non-bailable,Court of Session,I
140(2),"Kidnapping for ransom, etc.","Death, or imprisonment for life and fine.",Cognizable,Non-bailable,Court of Session,I
140(3),Kidnapping or abducting with intent secretly and wrongfully to confine a person.,Imprisonment for 7 years and fine.,Cognizable,Non-bailable,Magistrate of the first class,I
140(4),"Kidnapping or abducting in order to subject a person to grievous hurt, slavery, etc.",Imprisonment for 10 years and fine.,Cognizable,Non-bailable,Court of Session,I
141,Importation of a girl or boy from foreign country.,Imprisonment for 10 years and fine.,Cognizable,Non-bailable,Court of Session,I
142,"Wrongfully concealing or keeping in confinement, kidnapped or abducted person.",Punishment for kidnapping or abduction.,Cognizable,Non-bailable,Court by which the kidnapping or abduction is triable,I
143(2),Trafficking of person.,Rigorous imprisonment for not less than 7 years but which may extend to 10 years and fine.,Cognizable,Non-bailable,Court of Session,I
143(3),Trafficking of more than one person.,Rigorous imprisonment for not less than 10 years but which may extend to imprisonment for life and fine.,Cognizable,Non-bailable,Court of Session,I
143(4),Trafficking of a child.,Rigorous imprisonment for not less than 10 years but which may extend to imprisonment for life and fine.,Cognizable,Non-bailable,Court of Session,I
143(5),Trafficking of more than one child.,Rigorous imprisonment for not less than 14 years but which may extend to imprisonment for life and fine.,Cognizable,Non-bailable,Court of Session,I
143(6),Person convicted of offence of trafficking of child on more than one occasion.,Imprisonment for life which shall mean the remainder of that person's natural life and fine.,Cognizable,Non-bailable,Court of Session,I
143(7),Public servant or a police officer involved in trafficking of child.,Imprisonment for life which shall mean the remainder of that person's natural life and fine.,Cognizable,Non-bailable,Court of Session,I
144(1),Exploitation of a child.,trafficked Rigorous imprisonment for not less than 5 years but which may extend to 10 years and fine.,Cognizable,Non-bailable,Court of Session,I
144(2),Exploitation of a person.,trafficked Rigorous imprisonment for not less than 3 years but which may extend to 7 years and fine.,Cognizable,Non-bailable,Court of Session,I
145,Habitual dealing in slaves.,"Imprisonment for life, or imprisonment for 10 years and fine.",Cognizable,Non-bailable,Court of Session,I
146,Unlawful compulsory labour.,"Imprisonment for 1 year, or fine, or both.",Cognizable,Bailable,Any Magistrate,I
147,"Waging or attempting to wage war, or abetting the waging of war, against the Government of India.","Death, or imprisonment for life and fine.",Cognizable,Non-bailable,Court of Session,I
148,Conspiring to commit certain offences against the State.,"Imprisonment for life, or imprisonment for 10 years and fine.",Cognizable,Non-bailable,Court of Session,I
149,"Collecting arms, etc., with the intention of waging war against the Government of India.","Imprisonment for life, or imprisonment for 10 years and fine.",Cognizable,Non-bailable,Court of Session,I
150,Concealing with intent to facilitate a design to wage war.,Imprisonment for 10 years and fine.,Cognizable,Non-bailable,Court of Session,I
151,"Assaulting President, Governor, etc., with intent to compel or restrain the exercise of any lawful power.",Imprisonment for 7 years and fine.,Cognizable,Non-bailable,Court of Session,I
152,"Act endangering sovereignty, unity and integrity of India.","Imprisonment for life, or imprisonment for 7 years and fine.",Cognizable,Non-bailable,Court of Session,I
153,Waging war against Government of any foreign State at peace with the Government of India.,"Imprisonment for life and fine, or imprisonment for 7 years and fine, or fine.",Cognizable,Non-bailable,Court of Session,I
154,Committing depredation on the territories of any foreign state at peace with the Government of India.,"Imprisonment for 7 years and fine, and forfeiture of certain property.",Cognizable,Non-bailable,Court of Session,I
155,Receiving property taken by war or depredation mentioned in sections 153 and 154.,"Imprisonment for 7 years and fine, and forfeiture of certain property.",Cognizable,Non-bailable,Court of Session,I
156,Public servant voluntarily allowing prisoner of state or war in his custody to escape.,"Imprisonment for life, or imprisonment for 10 years and fine.",Cognizable,Non-bailable,Court of Session,I
157,Public servant negligently suffering prisoner of State or war in his custody to escape.,Simple imprisonment for 3 years and fine.,Cognizable,Bailable,Magistrate of the first class,I
158,"Aiding escape of, rescuing or harbouring such prisoner.","Imprisonment for life, or imprisonment for 10 years and fine.",Cognizable,Non-bailable,Court of Session,I
159,"Abetting mutiny, or attempting to seduce an officer, soldier, sailor or airman from his allegiance or duty.","Imprisonment for life, or imprisonment for 10 years and fine.",Cognizable,Non-bailable,Court of Session,I
160,"Abetment of mutiny, if mutiny is committed in consequence thereof.","Death, or imprisonment for life, or imprisonment for 10 years and fine.",Cognizable,Non-bailable,Court of Session,I
161,"Abetment of assault by an officer, soldier, sailor or airman on his superior officer, when in execution of his office.",Imprisonment for 3 years and fine.,Cognizable,Non-bailable,Magistrate of the first class,I
162,"Abetment of such assault, if the assault committed.",Imprisonment for 7 years and fine.,Cognizable,Non-bailable,Magistrate of the first class,I
163,"Abetment of the desertion of an officer, soldier, sailor or airman.","Imprisonment for 2 years, or fine, or both.",Cognizable,Bailable,Any Magistrate,I
164,Harbouring deserter.,"Imprisonment for 2 years, or fine, or both.",Cognizable,Bailable,Any Magistrate,I
165,Deserter concealed on board merchant vessel through negligence of master or person in charge thereof.,"Fine of 3,000 rupees.",Non-cognizable,Bailable,Any Magistrate,I
166,"Abetment of act of insubordination by an officer, soldier, sailor or airman if the offence be committed in consequence.","Imprisonment for 2 years, or fine, or both.",Cognizable,Bailable,Any Magistrate,I
168,"Wearing garb or carrying token used by soldier, sailor or airman.","Imprisonment for 3 months, or fine of 2,000 rupees, or both.",Cognizable,Bailable,Any Magistrate,I
173,Bribery.,"Imprisonment for 1 year or fine, or both, or if treating only, fine only.",Non-cognizable,Bailable,Magistrate of the first class,I
174,Undue influence or personation at an election.,"Imprisonment for 1 year, or fine, or both.",Non-cognizable,Bailable,Magistrate of the first class,I
175,False statement in connection with an election.,Fine.,Non-cognizable,Bailable,Magistrate of the first class,I
176,Illegal payments in connection with elections.,"Fine of 10,000 rupees.",Non-cognizable,Bailable,Magistrate of the first class,I
177,Failure to keep election accounts.,"Fine of 5,000 rupees.",Non-cognizable,Bailable,Magistrate of the first class,I
178,"Counterfeiting coins, government stamps, currency-notes or bank-notes.","Imprisonment for life, or imprisonment for 10 years and fine.",Cognizable,Non-bailable,Court of Session,I
179,"Using as genuine forged or counterfeit coin, Government stamp currency-notes or bank-notes.","Imprisonment for life, or imprisonment for 10 years and fine.",Cognizable,Non-bailable,Court of Session,I
180,"Possession of forged or counterfeit coin, Government stamp, currency-notes or bank-notes.","Imprisonment for 7 years, or fine, or both.",Cognizable,Non-bailable,Court of Session,I
181,"Making, buying, selling or possessing machinery, instrument or material for forging or counterfeiting coins, Government stamp, currency-notes or bank-notes.","Imprisonment for life, or imprisonment for 10 years and fine.",Cognizable,Non-bailable,Court of Session,I
182(1),Making or using documents resembling currency-notes or bank-notes.,Fine of 300 rupees.,Non-cognizable,Bailable,Any Magistrate,I
